,Number,F true,F guess,d true,d guess,MAE ground truth,MAE spectrum
0,0.0,-0.8867285389293839,-0.8869513869285583,-0.8363678046035191,-0.8364837765693665,0.0018284028628841047,0.0015777733642607927
1,1.0,-0.8040922961075716,-0.8091498017311096,0.8044212402192024,0.8047033548355103,0.010814382694661616,0.008955193683505058
2,2.0,-0.5574147192123258,-0.5585002899169922,-0.027618855729449457,-0.02790430560708046,0.004646805580705404,0.003825089894235135
3,3.0,-0.9898360487051964,-0.9894090294837952,-0.6999870959930842,-0.7104988694190979,0.0028716642409563065,0.011827532202005386
4,4.0,-0.9777341587588488,-0.9780537486076356,-0.3781561645711207,-0.3780144453048706,0.002280330751091243,0.0019897008314728733
5,5.0,-0.8247995927374537,-0.8264977335929871,0.681824905823995,0.6814759969711304,0.0058972775004804134,0.005252780392765999
6,6.0,-0.8564913968747507,-0.8570590615272522,-0.2311445365459827,-0.23121610283851626,0.0025354456156492233,0.0024586161598563194
7,7.0,-0.9241923763960296,-0.9237809777259828,-0.7911951866518397,-0.7912055253982544,0.001816440257243812,0.0017089864704757927
8,8.0,-0.4214808865560463,0.3803916573524475,-0.7169324599550008,-0.8589668869972229,0.003074624575674534,0.07389623671770096
9,9.0,-0.8440420591509914,-0.8441062569618225,-0.41705986895181296,-0.4171390235424042,0.0022373686078935857,0.0021897468250244856
10,10.0,-0.7327330669972901,-0.7321300506591797,-0.11357763566008165,-0.11390285938978195,0.004445297177881002,0.0034384995233267546
11,11.0,-0.6771688580188661,-0.6779043674468994,-0.2250422500884587,-0.2251749187707901,0.003968619741499424,0.003882176941260696
12,12.0,-0.5785912910618786,-0.40400201082229614,-0.7283426152308046,-0.8649595379829407,0.003159689251333475,0.1246897280216217
13,13.0,-0.7641368300932234,-0.7635533809661865,-0.1476966484914553,-0.14784742891788485,0.0033931261859834194,0.003079975955188275
14,14.0,-0.966989657401422,-0.9663270711898804,-0.6919835781217679,-0.6921319961547852,0.0032129073515534397,0.0016379461158066988
15,15.0,-0.9600712539863592,-0.9597590565681458,-0.5708309616426165,-0.5708458423614502,0.001899029943160713,0.0017504042480140929
16,16.0,-0.8554871977999271,-0.8561770915985107,-0.1630133804200892,-0.16317901015281674,0.0028518999461084604,0.002478699665516615
17,17.0,-0.7539017722978947,-0.7546484470367432,0.17923793828622142,0.17931930720806122,0.003486362053081393,0.003376329783350229
18,18.0,-0.9361691418400152,-0.935674488544464,-0.6883913210962662,-0.688317596912384,0.00196627527475357,0.0015907022170722485
19,19.0,-0.6858004978025793,-0.686270534992218,-0.25045208120213275,-0.2503952980041504,0.0034614861942827697,0.003471344942227006
20,20.0,-0.7778628528334409,-0.7775592803955078,0.11631985406065927,0.11610759049654007,0.0048359232023358345,0.004389713518321514
21,21.0,-0.8035388034885238,-0.8033483624458313,0.10704179121902667,0.1069166138768196,0.0039052374195307493,0.0036917906254529953
22,22.0,-0.8503211951447243,-0.8522596955299377,-0.8262473528917474,-0.8264250755310059,0.00199260818772018,0.002883644076064229
23,23.0,-0.9156486011214092,-0.9152149558067322,-0.5034546252759884,-0.5033361315727234,0.0018697875784710047,0.002142481971532107
24,24.0,0.8760107520045458,0.6021584272384644,-0.1105281616616457,-0.11071746796369553,0.01569194719195366,0.02229147218167782
25,25.0,-0.8867285389293839,-0.8870054483413696,-0.25196710675894474,-0.2519749701023102,0.002432230394333601,0.0024217816535383463
26,26.0,-0.9370036150215092,-0.9367724061012268,-0.8047440309991666,-0.8046472072601318,0.0019025764195248485,0.00190675794146955
27,27.0,-0.8032508731546982,-0.8028593063354492,-0.09172254565182594,-0.09191416203975676,0.002996266586706043,0.0024979924783110623
28,28.0,-0.794832332933173,-0.7941745519638062,-0.6573551590609419,-0.6574493646621704,0.002451816573739052,0.0021553256083279852
29,29.0,-0.929075834950192,-0.9289453625679016,-0.3482687061529541,-0.3481811583042145,0.0018709168070927267,0.0017223379109054804
30,30.0,-0.8554871977999271,-0.8554319143295288,-0.8458182542879112,-0.8459293246269226,0.0019213028717786074,0.0019256019731983547
31,31.0,-0.7812404463790054,-0.7804647088050842,0.7474997609976329,0.7466197609901428,0.011217608116567137,0.00853260699659586
32,32.0,-0.8480081578411146,-0.8493168354034424,0.004429331185963835,0.0042422362603247174,0.003242997452616692,0.002687368309125304
33,33.0,-0.8192114494575218,-0.8203588128089905,0.5600472157414011,0.5599020719528198,0.003947006538510323,0.003493631724268198
34,34.0,-0.9641077503747492,-0.9636939764022828,-0.050852063933992366,-0.05093171074986458,0.002584087895229459,0.002063220832496881
35,35.0,-0.9357098409611778,-0.9356738328933716,-0.5349220812402443,-0.5350354313850403,0.0019860295578837395,0.0019385981140658266
36,36.0,-0.1611875620623033,-0.16857600212097168,0.27451300774282433,0.2745775282382965,0.007394232787191869,0.007186518982052803
37,37.0,-0.7539017722978947,-0.754533588886261,-0.3121112026663708,-0.3119901120662689,0.002954074647277593,0.002820590045303107
38,38.0,-0.9121792717086832,-0.911622166633606,-0.9148789346253822,-0.9145148992538452,0.002098217373713851,0.002411646069958806
39,39.0,-0.9972096668454616,-0.9968712329864502,-0.7214682200106112,-0.7174188494682312,0.002844738308340311,0.002499277936294675
40,40.0,-0.9739552657590156,-0.9735550880432128,-0.811805610856873,-0.8118809461593628,0.002036907011643052,0.0018213173607364297
41,41.0,-0.6886745495586989,-0.6888896822929382,0.3616893140162996,0.3617182672023773,0.004464353434741497,0.004490638617426157
42,42.0,-0.3478171632289273,-0.34001559019088745,-0.5342046157195869,-0.5343257784843445,0.006007088348269464,0.005634875502437353
43,43.0,-0.817828239567781,-0.8169255256652832,-0.8181765952030325,-0.8183064460754395,0.002259847475215793,0.001836540875956416
44,44.0,-0.9537184314172816,-0.9532723426818848,-0.7623617299940698,-0.7622116804122925,0.0021690099965780973,0.0018906914629042149
45,45.0,-0.639580179688428,-0.6425491571426392,0.2652698038794762,0.2650301158428192,0.005258551333099604,0.00444631138816476
46,46.0,-0.7139783500613286,-0.717096745967865,0.5421063785712935,0.541972279548645,0.00585344433784485,0.005473369266837835
47,47.0,-0.5846906481730786,-0.5830638408660889,-0.17856653839165906,-0.17865188419818878,0.0035973852500319477,0.003401896450668573
48,48.0,-0.2436986655568432,-0.2441876679658889,-0.1971104691755162,-0.1973440200090409,0.0055633168667554855,0.005285811610519886
49,49.0,-0.7264427686408769,-0.7269594073295593,-0.309274103395084,-0.3090749084949493,0.003284438280388713,0.002978078788146377
50,50.0,-0.9299000924253968,-0.9301032423973083,-0.4172629254716504,-0.41733378171920776,0.0019723130390048027,0.001950227888301015
51,51.0,-0.9098850828466342,-0.9093774557113647,-0.6819003349355837,-0.681934118270874,0.002098900033161044,0.0019357112469151614
52,52.0,-0.5846906481730786,-0.5861587524414062,-0.26163284349812044,-0.26147690415382385,0.003910899162292481,0.003596935886889696
53,53.0,-0.21661601455868854,-0.2236384153366089,0.3788391378210188,0.3788508772850037,0.007294182665646076,0.0071467948146164435
54,54.0,-0.923427838460942,-0.9232794642448424,-0.5857814577793757,-0.5859226584434509,0.00205289595760405,0.0017347949324175715
55,55.0,-0.9881764374870832,-0.9882493019104004,-0.6522694686679397,-0.6550168395042419,0.00183819979429245,0.003692574799060822
56,56.0,-0.1611875620623033,-0.15051814913749695,-0.7563431014609305,-0.7564780116081238,0.005798071157187224,0.005293107591569425
57,57.0,-0.7434846208731265,-0.7425886988639832,-0.7832230571940443,-0.7833015918731691,0.0022303268779069185,0.0021041063591837887
