,Set-up,Train MAE,Val MAE,Test MAE,Training time,Epochs,Saved as,Activation
0,"4 layers, 200 nodes",0.011356877163052559,0.010968063026666641,0.011044608429074287,10 mins 55s,784,Networks Fabry-Pérot/4layers200nodes_run1_relu.hdf5,relu
1,"4 layers, 200 nodes",0.013894247822463512,0.010871339589357376,0.010904503054916859,10 mins 38s,744,Networks Fabry-Pérot/4layers200nodes_run2_relu.hdf5,relu
2,"4 layers, 200 nodes",0.011905182152986526,0.01143936812877655,0.01146183256059885,10 mins 28s,771,Networks Fabry-Pérot/4layers200nodes_run3_relu.hdf5,relu
3,"4 layers, 200 nodes",0.015089656226336956,0.012258516624569893,0.012353039346635342,7 mins 59s,587,Networks Fabry-Pérot/4layers200nodes_run4_relu.hdf5,relu
4,"4 layers, 200 nodes",0.014647490344941616,0.011999208480119705,0.01205752231180668,5 mins 59s,438,Networks Fabry-Pérot/4layers200nodes_run5_relu.hdf5,relu
5,"5 layers, 200 nodes",0.010574441403150558,0.010079346597194672,0.01010846346616745,7 mins 43s,524,Networks Fabry-Pérot/5layers200nodes_run1_relu.hdf5,relu
6,"5 layers, 200 nodes",0.01077767927199602,0.009386083111166954,0.009403133764863014,7 mins 46s,530,Networks Fabry-Pérot/5layers200nodes_run2_relu.hdf5,relu
7,"5 layers, 200 nodes",0.010623835027217863,0.00888291746377945,0.008922471664845943,9 mins 8s,631,Networks Fabry-Pérot/5layers200nodes_run3_relu.hdf5,relu
8,"5 layers, 200 nodes",0.01061628758907318,0.009493098594248295,0.009521340020000936,6 mins 8s,435,Networks Fabry-Pérot/5layers200nodes_run4_relu.hdf5,relu
9,"5 layers, 200 nodes",0.011271934024989605,0.008703930303454399,0.008780482225120071,9 mins 11s,647,Networks Fabry-Pérot/5layers200nodes_run5_relu.hdf5,relu
10,"6 layers, 200 nodes",0.011665218509733677,0.010199886746704578,0.010276082903146744,4 mins 23s,278,Networks Fabry-Pérot/6layers200nodes_run1_relu.hdf5,relu
11,"6 layers, 200 nodes",0.009380380623042585,0.007680275477468966,0.007711075711995362,8 mins 53s,574,Networks Fabry-Pérot/6layers200nodes_run2_relu.hdf5,relu
12,"6 layers, 200 nodes",0.010933974757790564,0.008848194964230059,0.008878258988261223,6 mins 36s,433,Networks Fabry-Pérot/6layers200nodes_run3_relu.hdf5,relu
13,"6 layers, 200 nodes",0.01633947342634201,0.009548049420118332,0.009607419371604921,4 mins 59s,326,Networks Fabry-Pérot/6layers200nodes_run4_relu.hdf5,relu
14,"6 layers, 200 nodes",0.010155527852475643,0.008333658799529077,0.00838862918317318,7 mins 17s,486,Networks Fabry-Pérot/6layers200nodes_run5_relu.hdf5,relu
15,"4 layers, 200 nodes",0.00977950170636177,0.00790175050497055,0.007959350012242794,15 mins 21s,737,Networks Fabry-Pérot/4layers200nodes_run1_swish.hdf5,swish
16,"4 layers, 200 nodes",0.009757349267601969,0.008523372933268547,0.008591526187956333,10 mins 33s,506,Networks Fabry-Pérot/4layers200nodes_run2_swish.hdf5,swish
17,"4 layers, 200 nodes",0.012357803992927073,0.011517494916915894,0.011578676290810108,12 mins 47s,614,Networks Fabry-Pérot/4layers200nodes_run3_swish.hdf5,swish
18,"4 layers, 200 nodes",0.0077944155782461175,0.0075242877937853345,0.0076298052445054046,15 mins 13s,734,Networks Fabry-Pérot/4layers200nodes_run4_swish.hdf5,swish
19,"4 layers, 200 nodes",0.008098671212792397,0.007415983360260725,0.007433043792843819,20 mins 47s,1000,Networks Fabry-Pérot/4layers200nodes_run5_swish.hdf5,swish
