,Run,Set-up,Activation,Train MAE,Val MAE,Training time,Epochs,Saved as
0,1,"4 layers, 200 nodes",relu,0.011356877163052559,0.010968063026666641,10 mins 55s,784,Networks Fabry-Pérot/4layers200nodes_run1_relu.hdf5
1,2,"4 layers, 200 nodes",relu,0.013894247822463512,0.010871339589357376,10 mins 38s,744,Networks Fabry-Pérot/4layers200nodes_run2_relu.hdf5
2,3,"4 layers, 200 nodes",relu,0.011905182152986526,0.01143936812877655,10 mins 28s,771,Networks Fabry-Pérot/4layers200nodes_run3_relu.hdf5
3,4,"4 layers, 200 nodes",relu,0.015089656226336956,0.012258516624569893,7 mins 59s,587,Networks Fabry-Pérot/4layers200nodes_run4_relu.hdf5
4,5,"4 layers, 200 nodes",relu,0.014647490344941616,0.011999208480119705,5 mins 59s,438,Networks Fabry-Pérot/4layers200nodes_run5_relu.hdf5
5,1,"5 layers, 200 nodes",relu,0.010574441403150558,0.010079346597194672,7 mins 43s,524,Networks Fabry-Pérot/5layers200nodes_run1_relu.hdf5
6,2,"5 layers, 200 nodes",relu,0.01077767927199602,0.009386083111166954,7 mins 46s,530,Networks Fabry-Pérot/5layers200nodes_run2_relu.hdf5
7,3,"5 layers, 200 nodes",relu,0.010623835027217863,0.00888291746377945,9 mins 8s,631,Networks Fabry-Pérot/5layers200nodes_run3_relu.hdf5
8,4,"5 layers, 200 nodes",relu,0.01061628758907318,0.009493098594248295,6 mins 8s,435,Networks Fabry-Pérot/5layers200nodes_run4_relu.hdf5
9,5,"5 layers, 200 nodes",relu,0.011271934024989605,0.008703930303454399,9 mins 11s,647,Networks Fabry-Pérot/5layers200nodes_run5_relu.hdf5
10,1,"6 layers, 200 nodes",relu,0.011665218509733677,0.010199886746704578,4 mins 23s,278,Networks Fabry-Pérot/6layers200nodes_run1_relu.hdf5
11,2,"6 layers, 200 nodes",relu,0.009380380623042585,0.007680275477468966,8 mins 53s,574,Networks Fabry-Pérot/6layers200nodes_run2_relu.hdf5
12,3,"6 layers, 200 nodes",relu,0.010933974757790564,0.008848194964230059,6 mins 36s,433,Networks Fabry-Pérot/6layers200nodes_run3_relu.hdf5
13,4,"6 layers, 200 nodes",relu,0.01633947342634201,0.009548049420118332,4 mins 59s,326,Networks Fabry-Pérot/6layers200nodes_run4_relu.hdf5
14,5,"6 layers, 200 nodes",relu,0.010155527852475643,0.008333658799529077,7 mins 17s,486,Networks Fabry-Pérot/6layers200nodes_run5_relu.hdf5
15,1,"4 layers, 200 nodes",swish,0.00977950170636177,0.00790175050497055,15 mins 21s,737,Networks Fabry-Pérot/4layers200nodes_run1_swish.hdf5
16,2,"4 layers, 200 nodes",swish,0.009757349267601969,0.008523372933268547,10 mins 33s,506,Networks Fabry-Pérot/4layers200nodes_run2_swish.hdf5
17,3,"4 layers, 200 nodes",swish,0.012357803992927073,0.011517494916915894,12 mins 47s,614,Networks Fabry-Pérot/4layers200nodes_run3_swish.hdf5
18,4,"4 layers, 200 nodes",swish,0.0077944155782461175,0.0075242877937853345,15 mins 13s,734,Networks Fabry-Pérot/4layers200nodes_run4_swish.hdf5
19,5,"4 layers, 200 nodes",swish,0.008098671212792397,0.007415983360260725,20 mins 47s,1000,Networks Fabry-Pérot/4layers200nodes_run5_swish.hdf5
20,1,"5 layers, 200 nodes",swish,0.0077595519833266735,0.006219929084181786,17 mins 1s,771,Networks Fabry-Pérot/5layers200nodes_run1_swish.hdf5
21,2,"5 layers, 200 nodes",swish,0.008111132308840752,0.006137842778116465,12 mins 42s,572,Networks Fabry-Pérot/5layers200nodes_run2_swish.hdf5
22,3,"5 layers, 200 nodes",swish,0.008072069846093655,0.006621954496949911,15 mins 1s,679,Networks Fabry-Pérot/5layers200nodes_run3_swish.hdf5
23,4,"5 layers, 200 nodes",swish,0.008778485469520092,0.00696062296628952,12 mins 3s,545,Networks Fabry-Pérot/5layers200nodes_run4_swish.hdf5
24,5,"5 layers, 200 nodes",swish,0.007300436031073331,0.005782907363027334,11 mins 45s,786,Networks Fabry-Pérot/5layers200nodes_run5_swish.hdf5
25,1,"6 layers, 200 nodes",swish,0.009352613240480423,0.0048261298798024654,12 mins 27s,527,Networks Fabry-Pérot/6layers200nodes_run1_swish.hdf5
26,2,"6 layers, 200 nodes",swish,0.007995611056685448,0.004480236675590279,13 mins 23s,575,Networks Fabry-Pérot/6layers200nodes_run2_swish.hdf5
27,3,"6 layers, 200 nodes",swish,0.005643604323267937,0.005869274958968162,13 mins 37s,582,Networks Fabry-Pérot/6layers200nodes_run3_swish.hdf5
28,4,"6 layers, 200 nodes",swish,0.004399266093969345,0.004147733561694622,18 mins 25s,790,Networks Fabry-Pérot/6layers200nodes_run4_swish.hdf5
29,5,"6 layers, 200 nodes",swish,0.008304784074425697,0.004863688256591559,11 mins 41s,487,Networks Fabry-Pérot/6layers200nodes_run5_swish.hdf5
30,1,"4 layers, 100 nodes",relu,0.023828707635402683,0.023492632433772087,8 mins 35s,500,Networks Fabry-Pérot/4layers100nodes_run1_relu.hdf5
31,2,"4 layers, 100 nodes",relu,0.022454915568232536,0.02187605760991573,8 mins 9s,500,Networks Fabry-Pérot/4layers100nodes_run2_relu.hdf5
32,3,"4 layers, 100 nodes",relu,0.02218738384544849,0.021936073899269104,8 mins 19s,500,Networks Fabry-Pérot/4layers100nodes_run3_relu.hdf5
33,4,"4 layers, 100 nodes",relu,0.020228808745741844,0.01993851363658905,8 mins 21s,500,Networks Fabry-Pérot/4layers100nodes_run4_relu.hdf5
34,5,"4 layers, 100 nodes",relu,0.022756149992346764,0.022553378716111183,8 mins 30s,500,Networks Fabry-Pérot/4layers100nodes_run5_relu.hdf5
35,1,"5 layers, 100 nodes",relu,0.017067503184080124,0.016442958265542984,9 mins 27s,500,Networks Fabry-Pérot/5layers100nodes_run1_relu.hdf5
36,2,"5 layers, 100 nodes",relu,0.016059838235378262,0.016307821497321132,9 mins 27s,500,Networks Fabry-Pérot/5layers100nodes_run2_relu.hdf5
37,3,"5 layers, 100 nodes",relu,0.01895325817167759,0.01851167157292366,9 mins 27s,500,Networks Fabry-Pérot/5layers100nodes_run3_relu.hdf5
38,4,"5 layers, 100 nodes",relu,0.016126899048686028,0.015916135162115097,9 mins 31s,500,Networks Fabry-Pérot/5layers100nodes_run4_relu.hdf5
39,5,"5 layers, 100 nodes",relu,0.017184408381581306,0.016415197402238846,9 mins 40s,500,Networks Fabry-Pérot/5layers100nodes_run5_relu.hdf5
40,1,"6 layers, 100 nodes",relu,0.017131291329860687,0.014421324245631697,10 mins 32s,500,Networks Fabry-Pérot/6layers100nodes_run1_relu.hdf5
41,2,"6 layers, 100 nodes",relu,0.01577162928879261,0.01494917366653681,10 mins 35s,500,Networks Fabry-Pérot/6layers100nodes_run2_relu.hdf5
42,3,"6 layers, 100 nodes",relu,0.01623944565653801,0.014804102480411531,10 mins 29s,500,Networks Fabry-Pérot/6layers100nodes_run3_relu.hdf5
43,4,"6 layers, 100 nodes",relu,0.013670655898749828,0.012690557166934013,10 mins 28s,500,Networks Fabry-Pérot/6layers100nodes_run4_relu.hdf5
44,5,"6 layers, 100 nodes",relu,0.013823089189827442,0.013232596218585968,10 mins 22s,500,Networks Fabry-Pérot/6layers100nodes_run5_relu.hdf5
